 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																											
C13.020B	14R0328A	14R0328A	8	2	C2	13	REFT2B	135	2																																																																																																																																																											
C04.041B	14R0328A	14R0328A	5	2	C2	4	REFT2B	136	2																																																																																																																																																											
C04.043B	14R0328A	14R0328A	6	2	C2	4	REFT2B	137	2																																																																																																																																																											
C15.022B	14R0328A	14R0328A	7	2	C2	15	REFT2B	138	2																																																																																																																																																											
C21.007B	14R0328A	14R0328A	8	2	C2	21	REFT2B	139	2																																																																																																																																																											
C06.033B	14R0328A	14R0328A	5	2	C2	6	REFT2B	140	2																																																																																																																																																											
C06.034B	14R0328A	14R0328A	6	2	C2	6	REFT2B	141	2																																																																																																																																																											
C05.042B	14R0328A	14R0328A	7	2	C2	5	REFT2B	142	2																																																																																																																																																											
C01.045B	14R0328A	14R0328A	8	2	C2	1	REFT2B	143	2																																																																																																																																																											
C12.025B	14R0328A	14R0328A	5	2	C2	12	REFT2B	144	2																																																																																																																																																											
C13.018B	14R0328A	14R0328A	6	2	C2	13	REFT2B	145	2																																																																																																																																																											
C21.006B	14R0328A	14R0328A	7	2	C2	21	REFT2B	146	2																																																																																																																																																											
C02.075B	14R0328A	14R0328A	8	2	C2	2	REFT2B	147	2																																																																																																																																																											
C13.017B	14R0328A	14R0328A	5	2	C2	13	REFT2B	148	2																																																																																																																																																											
C23.068B	14R0328A	14R0328A	6	2	C2	23	REFT2B	149	2																																																																																																																																																											
C04.044B	14R0328A	14R0328A	7	2	C2	4	REFT2B	150	2																																																																																																																																																											
C09.037B	14R0328A	14R0328A	8	2	C2	9	REFT2B	151	2																																																																																																																																																											
C01.042B	14R0328A	14R0328A	5	2	C2	1	REFT2B	152	2																																																																																																																																																											
C01.043B	14R0328A	14R0328A	6	2	C2	1	REFT2B	153	2																																																																																																																																																											
C13.019B	14R0328A	14R0328A	7	2	C2	13	REFT2B	154	2																																																																																																																																																											
C04.045B	14R0328A	14R0328A	8	2	C2	4	REFT2B	155	2																																																																																																																																																											
11q23-03	14R0328A	14R0328A	5	2	C2	11	REFT2B	157	2																																																																																																																																																											
11q23-04	14R0328A	14R0328A	6	2	C2	11	REFT2B	158	2																																																																																																																																																											
11q23-05	14R0328A	14R0328A	7	2	C2	11	REFT2B	159	2																																																																																																																																																											
14q22-01	14R0328A	14R0328A	8	2	C2	14	REFT2B	160	2																																																																																																																																																											
15q25.2-01	14R0328A	14R0328A	5	2	C2	15	REFT2B	161	2																																																																																																																																																											
21q22.11-01	14R0328A	14R0328A	6	2	C2	21	REFT2B	162	2																																																																																																																																																											
21q22.11-02	14R0328A	14R0328A	7	2	C2	21	REFT2B	163	2																																																																																																																																																											
21q22.11-03	14R0328A	14R0328A	8	2	C2	21	REFT2B	164	2																																																																																																																																																											
21q22.11-04	14R0328A	14R0328A	5	2	C2	21	REFT2B	165	2																																																																																																																																																											
