 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C08.063B	14R0328A	14R0328A	7	2	D2	8	REFT2B	142	2																																																																																																																																																										
C12.024B	14R0328A	14R0328A	8	2	D2	12	REFT2B	143	2																																																																																																																																																										
C23.083B	14R0328A	14R0328A	5	2	D2	23	REFT2B	144	2																																																																																																																																																										
C16.063B	14R0328A	14R0328A	6	2	D2	16	REFT2B	145	2																																																																																																																																																										
C15.027B	14R0328A	14R0328A	7	2	D2	15	REFT2B	146	2																																																																																																																																																										
C09.033B	14R0328A	14R0328A	8	2	D2	9	REFT2B	147	2																																																																																																																																																										
C05.045B	14R0328A	14R0328A	5	2	D2	5	REFT2B	148	2																																																																																																																																																										
C01.077B	14R0328A	14R0328A	6	2	D2	1	REFT2B	149	2																																																																																																																																																										
C10.010B	14R0328A	14R0328A	7	2	D2	10	REFT2B	150	2																																																																																																																																																										
C15.019B	14R0328A	14R0328A	8	2	D2	15	REFT2B	151	2																																																																																																																																																										
C14.020B	14R0328A	14R0328A	6	2	D2	14	REFT2B	152	2																																																																																																																																																										
FAP-01	14R0328A	14R0328A	5	2	D2	5	REFT2B	185	2																																																																																																																																																										
FAP-02	14R0328A	14R0328A	7	2	D2	5	REFT2B	188	2																																																																																																																																																										
FAP-03	14R0328A	14R0328A	8	2	D2	5	REFT2B	188	2																																																																																																																																																										
FAP-04	14R0328A	14R0328A	5	2	D2	5	REFT2B	188	2																																																																																																																																																										
22_01	14R0328A	14R0328A	6	2	D2	22	REFT2B	190	2																																																																																																																																																										
22_02	14R0328A	14R0328A	7	2	D2	22	REFT2B	191	2																																																																																																																																																										
22_03	14R0328A	14R0328A	8	2	D2	22	REFT2B	191	2																																																																																																																																																										
22_04	14R0328A	14R0328A	5	2	D2	22	REFT2B	191	2																																																																																																																																																										
22_05	14R0328A	14R0328A	6	2	D2	22	REFT2B	193	2																																																																																																																																																										
