 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C18.030B	14R0328A	14R0328A	7	2	A2	18	REFT2B	126	2																																																																																																																																																										
C11.010B	14R0328A	14R0328A	8	2	A2	11	REFT2B	127	2																																																																																																																																																										
C04.029B	14R0328A	14R0328A	5	2	A2	4	REFT2B	128	2																																																																																																																																																										
C09.026B	14R0328A	14R0328A	6	2	A2	9	REFT2B	129	2																																																																																																																																																										
C04.031B	14R0328A	14R0328A	7	2	A2	4	REFT2B	130	2																																																																																																																																																										
C16.070B	14R0328A	14R0328A	8	2	A2	16	REFT2B	131	2																																																																																																																																																										
C08.047B	14R0328A	14R0328A	5	2	A2	8	REFT2B	132	2																																																																																																																																																										
C02.060B	14R0328A	14R0328A	6	2	A2	2	REFT2B	133	2																																																																																																																																																										
C11.009B	14R0328A	14R0328A	7	2	A2	11	REFT2B	134	2																																																																																																																																																										
C07.052B	14R0328A	14R0328A	8	2	A2	7	REFT2B	135	2																																																																																																																																																										
C11.007B	14R0328A	14R0328A	5	2	A2	11	REFT2B	136	2																																																																																																																																																										
C13.010B	14R0328A	14R0328A	6	2	A2	13	REFT2B	137	2																																																																																																																																																										
C13.011B	14R0328A	14R0328A	7	2	A2	13	REFT2B	138	2																																																																																																																																																										
C18.031B	14R0328A	14R0328A	8	2	A2	18	REFT2B	139	2																																																																																																																																																										
C01.080B	14R0328A	14R0328A	5	2	A2	1	REFT2B	140	2																																																																																																																																																										
C14.025B	14R0328A	14R0328A	6	2	A2	14	REFT2B	141	2																																																																																																																																																										
C06.026B	14R0328A	14R0328A	7	2	A2	6	REFT2B	142	2																																																																																																																																																										
C06.027B	14R0328A	14R0328A	8	2	A2	6	REFT2B	143	2																																																																																																																																																										
C03.013B	14R0328A	14R0328A	5	2	A2	3	REFT2B	144	2																																																																																																																																																										
C18.029B	14R0328A	14R0328A	6	2	A2	18	REFT2B	145	2																																																																																																																																																										
C23.012B	14R0328A	14R0328A	7	2	A2	23	REFT2B	146	2																																																																																																																																																										
C13.012B	14R0328A	14R0328A	8	2	A2	13	REFT2B	147	2																																																																																																																																																										
C13.009B	14R0328A	14R0328A	5	2	A2	13	REFT2B	148	2																																																																																																																																																										
C01.081B	14R0328A	14R0328A	6	2	A2	1	REFT2B	149	2																																																																																																																																																										
C02.066B	14R0328A	14R0328A	7	2	A2	2	REFT2B	150	2																																																																																																																																																										
C14.027B	14R0328A	14R0328A	8	2	A2	14	REFT2B	151	2																																																																																																																																																										
C02.059B	14R0328A	14R0328A	5	2	A2	2	REFT2B	152	2																																																																																																																																																										
C23.060B	14R0328A	14R0328A	6	2	A2	23	REFT2B	153	2																																																																																																																																																										
C07.051B	14R0328A	14R0328A	7	2	A2	7	REFT2B	154	2																																																																																																																																																										
C23.013B	14R0328A	14R0328A	8	2	A2	23	REFT2B	155	2																																																																																																																																																										
2p21_01	14R0328A	14R0328A	5	2	A2	2	REFT2B	157	2																																																																																																																																																										
2p21_02	14R0328A	14R0328A	6	2	A2	2	REFT2B	158	2																																																																																																																																																										
2p21_03	14R0328A	14R0328A	7	2	A2	2	REFT2B	159	2																																																																																																																																																										
2p21_04	14R0328A	14R0328A	8	2	A2	2	REFT2B	160	2																																																																																																																																																										
2p21_05	14R0328A	14R0328A	5	2	A2	2	REFT2B	161	2																																																																																																																																																										
2p21_06	14R0328A	14R0328A	6	2	A2	2	REFT2B	162	2																																																																																																																																																										
5q31.3_01	14R0328A	14R0328A	7	2	A2	5	REFT2B	163	2																																																																																																																																																										
5q31.3_02	14R0328A	14R0328A	8	2	A2	5	REFT2B	164	2																																																																																																																																																										
5q31.3_03	14R0328A	14R0328A	5	2	A2	5	REFT2B	165	2																																																																																																																																																										
