 Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	 LOCUS PROPERTY	 No.	CNV_DEFAULT																																																																																																																																																										
C03.018B	14R0328A	14R0328A	7	2	B2	3	REFT2B	101	2																																																																																																																																																										
C06.031B	14R0328A	14R0328A	8	2	B2	6	REFT2B	102	2																																																																																																																																																										
C13.001B	14R0328A	14R0328A	5	2	B2	13	REFT2B	103	2																																																																																																																																																										
C23.063B	14R0328A	14R0328A	6	2	B2	23	REFT2B	104	2																																																																																																																																																										
C04.038B	14R0328A	14R0328A	7	2	B2	4	REFT2B	105	2																																																																																																																																																										
C09.032B	14R0328A	14R0328A	8	2	B2	9	REFT2B	106	2																																																																																																																																																										
C01.072B	14R0328A	14R0328A	5	2	B2	1	REFT2B	107	2																																																																																																																																																										
C09.030B	14R0328A	14R0328A	6	2	B2	9	REFT2B	108	2																																																																																																																																																										
C09.031B	14R0328A	14R0328A	7	2	B2	9	REFT2B	109	2																																																																																																																																																										
C01.040B	14R0328A	14R0328A	8	2	B2	1	REFT2B	110	2																																																																																																																																																										
C11.039B	14R0328A	14R0328A	5	2	B2	11	REFT2B	111	2																																																																																																																																																										
C08.051B	14R0328A	14R0328A	6	2	B2	8	REFT2B	112	2																																																																																																																																																										
C17.003B	14R0328A	14R0328A	7	2	B2	17	REFT2B	113	2																																																																																																																																																										
C02.070B	14R0328A	14R0328A	8	2	B2	2	REFT2B	114	2																																																																																																																																																										
C14.015B	14R0328A	14R0328A	5	2	B2	14	REFT2B	115	2																																																																																																																																																										
C05.036B	14R0328A	14R0328A	6	2	B2	5	REFT2B	116	2																																																																																																																																																										
C02.069B	14R0328A	14R0328A	7	2	B2	2	REFT2B	117	2																																																																																																																																																										
C07.055B	14R0328A	14R0328A	8	2	B2	7	REFT2B	118	2																																																																																																																																																										
C22.028B	14R0328A	14R0328A	5	2	B2	22	REFT2B	119	2																																																																																																																																																										
C12.021B	14R0328A	14R0328A	6	2	B2	12	REFT2B	120	2																																																																																																																																																										
